Wed Sep  2 08:45:33 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:46:03 2020, Wednesday, September 2, 2020, 10:00 AM - 11:00 AM, 1 
Wed Sep  2 08:46:03 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:46:03 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:46:34 2020, Wednesday, September 2, 2020, 10:00 AM - 11:00 AM, 1 
Wed Sep  2 08:46:34 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:46:34 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:47:05 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:47:05 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:47:35 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:47:35 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:48:06 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:48:06 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:48:37 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:48:37 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:49:07 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:49:07 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:49:38 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:49:38 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:50:08 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:50:08 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 5 
Wed Sep  2 08:50:39 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:50:39 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 4 
Wed Sep  2 08:51:10 2020, Thursday, September 3, 2020, 7:00 AM - 8:00 AM, 3 
Wed Sep  2 08:51:10 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 4 
