Wed Sep  2 08:49:13 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:49:44 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:49:44 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:49:44 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:49:44 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:49:44 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:50:15 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:50:15 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:50:15 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:50:15 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:50:15 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:50:46 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:50:46 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:50:46 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:50:46 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:50:46 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:51:17 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:51:17 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:51:17 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:51:17 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:51:17 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:51:48 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:51:48 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:51:48 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:51:48 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:51:48 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:52:19 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:52:19 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:52:19 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:52:19 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:52:19 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:52:50 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:52:50 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:52:50 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:52:50 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:52:50 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:53:21 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:53:21 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:53:21 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:53:21 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:53:21 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:53:52 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:53:52 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:53:52 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:53:52 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:53:52 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:54:23 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:54:23 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:54:23 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:54:23 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:54:23 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:54:54 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:54:54 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:54:54 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:54:54 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:54:54 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:55:25 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:55:25 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:55:25 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:55:25 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:55:25 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:55:57 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:55:57 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:55:57 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:55:57 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 08:55:57 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:56:28 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:56:28 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:56:28 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:56:28 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 08:56:28 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:56:58 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:56:58 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:56:58 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:56:58 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 08:56:58 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:57:29 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:57:29 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:57:29 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:57:29 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 08:57:29 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:58:00 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:58:00 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:58:00 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:58:00 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 08:58:00 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:58:31 2020, Wednesday, September 2, 2020, 9:00 AM - 10:00 AM, 1 
Wed Sep  2 08:58:31 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:58:31 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:58:31 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 08:58:31 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:59:02 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:59:02 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:59:02 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 08:59:02 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
Wed Sep  2 08:59:33 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:59:33 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 7 
Wed Sep  2 08:59:33 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 19
